#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
EP-11-13878_0060_0001.JPG,8732312,"{}",4,0,"{""name"":""polygon"",""all_points_x"":[1792,1928,2160,2412,2651,2978,2869,2487,2256,1806,1792,2187,1792],""all_points_y"":[3632,3632,2848,1894,1540,20,20,1574,2024,1997,2078,2119,3632]}","{""label"":""road""}"
EP-11-13878_0060_0001.JPG,8732312,"{}",4,1,"{""name"":""polygon"",""all_points_x"":[2835,5199,5233,5329,5458,5452,5268,5356,5165,3741,3714,5179,5070,2869,2835],""all_points_y"":[770,1186,934,865,879,777,736,20,273,14,109,388,1063,647,770]}","{""label"":""road""}"
EP-11-13878_0060_0001.JPG,8732312,"{}",4,2,"{""name"":""polygon"",""all_points_x"":[2385,3516,3428,5452,5445,3666,3653,2412,2385],""all_points_y"":[2072,2112,3216,3360,3080,2917,2010,1949,2072]}","{""label"":""road""}"
EP-11-13878_0060_0001.JPG,8732312,"{}",4,3,"{""name"":""polygon"",""all_points_x"":[1363,1383,906,252,409,968,1363],""all_points_y"":[2351,2256,2133,3632,3618,2249,2351]}","{""label"":""road""}"
EP-11-13878_0060_0002.JPG,8616110,"{}",0,0,"{}","{}"
EP-11-13878_0060_0003.JPG,8427783,"{}",0,0,"{}","{}"
EP-11-13878_0060_0004.JPG,9163384,"{}",0,0,"{}","{}"
EP-11-13878_0060_0005.JPG,9116362,"{}",0,0,"{}","{}"
EP-11-13878_0060_0006.JPG,9211751,"{}",0,0,"{}","{}"
EP-11-13878_0060_0007.JPG,8175096,"{}",0,0,"{}","{}"
EP-11-13878_0060_0008.JPG,8745815,"{}",0,0,"{}","{}"
EP-11-13878_0060_0009.JPG,8804192,"{}",0,0,"{}","{}"
EP-11-13878_0060_0010.JPG,8212424,"{}",0,0,"{}","{}"
EP-11-13878_0060_0011.JPG,8445484,"{}",0,0,"{}","{}"
EP-11-13878_0060_0012.JPG,9259020,"{}",0,0,"{}","{}"
